#
# In-degree Distribution. G(75718, 525348). 9209 (0.1216) nodes with in-deg > avg deg (13.9), 3277 (0.0433) with >2*avg.deg (Wed Apr 30 17:12:35 2014)
#
# In-degree	Count
0	11740
1	17528
2	7828
3	5908
4	4738
5	4018
6	3263
7	2536
8	2200
9	1846
10	1557
11	1253
12	1125
13	969
14	782
15	763
16	667
17	583
18	477
19	435
20	402
21	335
22	341
23	277
24	244
25	230
26	208
27	188
28	187
29	162
30	145
31	140
32	112
33	148
34	121
35	93
36	99
37	85
38	79
39	81
40	78
41	67
42	73
43	65
44	61
45	61
46	42
47	42
48	55
49	42
50	41
51	44
52	41
53	35
54	29
55	43
56	29
57	26
58	26
59	41
60	24
61	30
62	24
63	29
64	20
65	21
66	21
67	20
68	12
69	17
70	14
71	17
72	13
73	21
74	13
75	15
76	15
77	14
78	17
79	6
80	15
81	15
82	14
83	14
84	12
85	10
86	16
87	18
88	9
89	6
90	5
91	14
92	11
93	8
94	5
95	12
96	8
97	7
98	5
99	5
100	7
101	2
102	7
103	9
104	4
105	4
106	10
107	7
108	1
109	9
110	5
111	6
112	5
113	3
114	3
115	4
116	5
117	2
118	1
119	3
120	4
121	4
122	1
123	2
124	1
125	5
126	2
127	5
129	3
130	4
131	1
132	3
133	2
134	1
135	2
136	1
137	4
138	5
139	3
140	1
141	2
143	1
144	4
145	6
146	4
147	1
148	2
150	2
151	1
152	3
153	1
154	1
156	2
158	1
159	2
160	1
161	1
162	2
163	1
164	1
168	1
169	1
171	1
172	1
173	1
175	1
177	2
178	2
179	1
181	1
183	1
184	1
187	1
190	1
191	1
192	1
194	3
195	1
200	1
202	2
203	1
204	2
206	2
207	3
208	1
212	2
213	1
214	1
218	1
219	1
220	2
223	1
224	1
225	2
226	1
227	1
228	1
229	2
230	1
234	2
236	1
237	2
238	1
240	3
250	1
253	1
258	1
259	1
260	1
261	1
271	1
272	1
279	1
280	1
282	1
285	1
289	1
291	1
294	1
303	1
313	1
314	1
317	1
319	1
320	1
321	1
322	1
333	2
335	1
339	1
340	1
345	1
346	1
349	1
350	1
351	1
355	1
380	1
382	1
384	1
387	1
389	1
398	1
409	1
410	1
411	1
421	1
437	1
450	1
452	1
468	1
480	1
490	1
501	1
521	1
523	1
654	1
747	1
888	1
970	2
1025	1
1027	1
1214	1
