#
# Hop Plot. Hop plot. EffDiam: 4.9386, G(80307, 1730617) (Mon May  5 02:51:32 2014)
#
# Number of hops	Number of pairs of nodes
0	80307
1	1.73062e+06
2	1.87553e+06
3	1.62764e+08
4	2.94039e+09
5	5.5993e+09
6	5.9238e+09
7	6.02769e+09
8	6.0397e+09
9	6.04006e+09
