#
# Hop Plot. Hop plot. EffDiam: 8.40114, G(26795, 153635) (Sun Apr 27 20:54:43 2014)
#
# Number of hops	Number of pairs of nodes
0	26795
1	153635
2	197511
3	3.635e+06
4	3.69768e+07
5	1.51215e+08
6	3.06993e+08
7	4.15334e+08
8	4.70878e+08
9	4.99676e+08
10	5.1318e+08
11	5.20539e+08
12	5.27717e+08
13	5.32582e+08
14	5.347e+08
15	5.35609e+08
16	5.36033e+08
