#
# Hop Plot. Hop plot. EffDiam: 5.90275, G(80374, 1730617) (Mon May  5 02:51:39 2014)
#
# Number of hops	Number of pairs of nodes
0	80374
1	1.73062e+06
2	1.87021e+06
3	7.16419e+07
4	1.17591e+09
5	3.71534e+09
6	4.93886e+09
7	5.28091e+09
8	5.3491e+09
9	5.3549e+09
10	5.35542e+09
