#
# Hop Plot. Hop plot. EffDiam: 5.90887, G(80776, 1730617) (Tue Apr 29 01:21:47 2014)
#
# Number of hops	Number of pairs of nodes
0	80776
1	1.73062e+06
2	1.86916e+06
3	6.7926e+07
4	1.16104e+09
5	4.31291e+09
6	6.39111e+09
7	6.81704e+09
8	6.88457e+09
9	6.8908e+09
