#
# Hop Plot. Hop plot. EffDiam: 10.4689, G(13358, 50111) (Sun Apr 27 20:55:22 2014)
#
# Number of hops	Number of pairs of nodes
0	13358
1	50111
2	71718.1
3	668220
4	5.25996e+06
5	2.18706e+07
6	4.97822e+07
7	7.89057e+07
8	1.02286e+08
9	1.20832e+08
10	1.34722e+08
11	1.43227e+08
12	1.47942e+08
13	1.50531e+08
14	1.51962e+08
15	1.52786e+08
16	1.53291e+08
17	1.53621e+08
18	1.53844e+08
19	1.54005e+08
20	1.54122e+08
