#
# Hop Plot. Hop plot. EffDiam: 9.07056, G(70948, 531003) (Sun Apr 27 20:18:05 2014)
#
# Number of hops	Number of pairs of nodes
0	70948
1	531003
2	652294
3	1.0267e+07
4	9.33708e+07
5	4.14662e+08
6	1.16467e+09
7	2.05775e+09
8	2.59588e+09
9	2.83188e+09
10	2.93238e+09
11	3.00826e+09
12	3.09389e+09
13	3.13552e+09
14	3.14819e+09
15	3.15274e+09
16	3.15441e+09
