#
# Hop Plot. Hop plot. EffDiam: 6.50767, G(79227, 967895) (Wed Apr 30 15:40:12 2014)
#
# Number of hops	Number of pairs of nodes
0	79227
1	967895
2	1.09998e+06
3	1.95999e+07
4	3.46593e+08
5	2.28249e+09
6	4.78963e+09
7	5.68459e+09
8	5.81138e+09
9	5.82519e+09
10	5.82664e+09
