#
# Hop Plot. Hop plot. EffDiam: 4.8395, G(80155, 2145624) (Sun May  4 21:56:51 2014)
#
# Number of hops	Number of pairs of nodes
0	80155
1	2.14562e+06
2	2.31194e+06
3	2.68867e+08
4	3.16107e+09
5	4.98442e+09
6	5.20583e+09
7	5.21292e+09
8	5.21307e+09
