#
# Hop Plot. Hop plot. EffDiam: 10.0624, G(14845, 115974) (Sun Apr 27 20:51:40 2014)
#
# Number of hops	Number of pairs of nodes
0	14845
1	115974
2	138182
3	2.46262e+06
4	1.42582e+07
5	3.94979e+07
6	7.40113e+07
7	1.03367e+08
8	1.27431e+08
9	1.47557e+08
10	1.59309e+08
11	1.66794e+08
12	1.71338e+08
13	1.7402e+08
14	1.75627e+08
15	1.76535e+08
16	1.7706e+08
17	1.77366e+08
18	1.77529e+08
