#
# Hop Plot. Hop plot. EffDiam: 6.45799, G(78415, 1619335) (Sun May  4 14:17:57 2014)
#
# Number of hops	Number of pairs of nodes
0	78415
1	1.61934e+06
2	1.76318e+06
3	3.29783e+07
4	4.26734e+08
5	1.79003e+09
6	3.08648e+09
7	3.55458e+09
8	3.64922e+09
9	3.66484e+09
10	3.66763e+09
