#
# Hop Plot. Hop plot. EffDiam: 7.92525, G(75718, 525348) (Wed Apr 30 17:12:37 2014)
#
# Number of hops	Number of pairs of nodes
0	75718
1	525348
2	649911
3	5.47644e+06
4	5.75526e+07
5	4.13887e+08
6	1.35421e+09
7	2.34925e+09
8	2.96735e+09
9	3.18539e+09
10	3.23436e+09
11	3.24366e+09
12	3.24571e+09
