#
# Hop Plot. Hop plot. EffDiam: 5.76734, G(80583, 1730617) (Sun May  4 20:26:11 2014)
#
# Number of hops	Number of pairs of nodes
0	80583
1	1.73062e+06
2	1.87067e+06
3	6.68672e+07
4	1.36471e+09
5	4.48936e+09
6	5.56172e+09
7	5.79558e+09
8	5.88958e+09
9	5.90164e+09
10	5.90247e+09
