#
# Hop Plot. Hop plot. EffDiam: 4.89995, G(79090, 1699181) (Tue Apr 29 16:38:14 2014)
#
# Number of hops	Number of pairs of nodes
0	79090
1	1.69918e+06
2	1.83299e+06
3	1.67932e+08
4	2.50026e+09
5	4.61282e+09
6	4.87432e+09
7	4.89018e+09
8	4.89052e+09
