#
# Hop Plot. Hop plot. EffDiam: 9.43964, G(16307, 61319) (Sun Apr 27 20:56:19 2014)
#
# Number of hops	Number of pairs of nodes
0	16307
1	61319
2	87941.1
3	972314
4	7.19927e+06
5	3.03217e+07
6	7.55147e+07
7	1.2911e+08
8	1.73304e+08
9	2.01381e+08
10	2.16499e+08
11	2.24062e+08
12	2.27724e+08
13	2.29463e+08
14	2.30349e+08
15	2.30794e+08
16	2.31034e+08
17	2.31142e+08
