#
# Hop Plot. Hop plot. EffDiam: 4.68264, G(78665, 2362970) (Sun Apr 27 15:07:31 2014)
#
# Number of hops	Number of pairs of nodes
0	78665
1	2.36297e+06
2	2.47036e+06
3	3.43888e+08
4	3.43082e+09
5	4.80206e+09
6	4.85156e+09
7	4.85209e+09
