#
# Clustering Coefficient Distribution. G(78665, 2362970). Average clustering: 0.0578  OpenTriads: 1276352004 (0.9873)  ClosedTriads: 16467712 (0.0127) (Sun Apr 27 15:07:28 2014)
#
# Node degree	Average clustering coefficient
391	0.0518769
392	0.0527589
393	0.0528319
394	0.0501789
395	0.056531
396	0.0545077
397	0.0542162
398	0.0564101
399	0.0589784
400	0.0524508
401	0.0543865
402	0.0544646
403	0.0597595
404	0.048277
405	0.055007
406	0.0579769
407	0.0520854
408	0.0552679
409	0.0560152
410	0.0558802
411	0.0501368
412	0.059622
413	0.0525221
414	0.0524518
415	0.0544658
416	0.053815
417	0.0530184
418	0.0526222
419	0.0567991
420	0.0492103
421	0.0526444
422	0.0549598
423	0.054505
424	0.0540542
425	0.0547925
426	0.0520398
427	0.0534009
428	0.05361
429	0.0536216
430	0.0564631
431	0.051757
432	0.0546719
433	0.0579601
434	0.060445
435	0.0527949
436	0.0548265
437	0.0549951
438	0.0454187
439	0.05551
440	0.0501127
441	0.0549672
442	0.0584841
443	0.0500371
444	0.0495503
445	0.0595247
446	0.049755
447	0.0527013
448	0.0530328
449	0.056758
450	0.0520492
451	0.0555493
452	0.0506235
453	0.0516219
454	0.0507174
455	0.0505841
456	0.0577355
457	0.0516052
458	0.0552753
459	0.0491875
460	0.0554661
461	0.0510689
462	0.0505026
463	0.0538434
464	0.0508225
465	0.0590577
466	0.0578516
467	0.0542204
468	0.053535
469	0.0476809
470	0.0570034
471	0.0525662
472	0.0490433
473	0.0533373
474	0.05252
475	0.0497666
476	0.0495661
477	0.0523868
478	0.0526866
479	0.0483221
480	0.0550848
481	0.0519615
482	0.0509253
483	0.0512065
484	0.055342
485	0.0509799
486	0.0495076
488	0.0547582
489	0.0555597
490	0.0525052
491	0.0534439
492	0.0545446
493	0.0525998
494	0.0573602
495	0.0532944
496	0.0482525
497	0.0480997
498	0.0521155
499	0.0499874
500	0.0501696
501	0.0563514
502	0.050517
503	0.0541813
504	0.0512987
505	0.0528609
506	0.0521983
508	0.0517395
509	0.0518964
510	0.0548533
511	0.0547208
512	0.0523139
513	0.0512231
514	0.0543862
515	0.0533415
516	0.051308
517	0.0543989
518	0.0541526
519	0.056288
520	0.0549875
521	0.0527113
522	0.058281
523	0.0517188
524	0.060842
525	0.0536306
526	0.0502134
527	0.0529905
528	0.0485237
529	0.0472285
530	0.0532375
531	0.0484753
532	0.0523511
533	0.0503183
534	0.0510264
535	0.0526499
536	0.0458378
537	0.0546285
538	0.0494952
539	0.0513675
540	0.0571381
541	0.0558815
542	0.0499201
543	0.0532876
544	0.0454347
545	0.0512407
546	0.0509666
547	0.0531764
548	0.0512859
549	0.0515347
550	0.0543531
551	0.053446
552	0.0505366
553	0.0555857
554	0.0505068
555	0.053637
556	0.0505885
557	0.0514402
558	0.0528073
559	0.0506256
560	0.0517569
561	0.0513405
562	0.0519224
563	0.0528367
564	0.0474807
565	0.056092
566	0.0470729
567	0.050227
568	0.0495868
569	0.0515549
570	0.0497725
571	0.0522959
572	0.062213
573	0.0524181
574	0.0519269
575	0.0521103
576	0.0523549
577	0.0534433
578	0.0513039
579	0.0556975
580	0.0496356
581	0.0478668
582	0.0503959
583	0.0559645
584	0.0493617
585	0.0518263
586	0.0540683
587	0.0478672
588	0.0403966
589	0.0517506
591	0.0506318
592	0.0527842
593	0.0529346
594	0.0412059
595	0.0477469
596	0.0464586
597	0.0540842
598	0.0456281
599	0.0497637
600	0.0513241
601	0.0483471
602	0.0525402
603	0.0563697
604	0.0447758
605	0.049183
606	0.0468382
607	0.0525607
609	0.0530012
610	0.0395568
611	0.0575208
612	0.0528269
613	0.0497931
614	0.0501258
615	0.0513489
616	0.0454944
617	0.0462083
619	0.0492012
620	0.0575126
621	0.0459187
622	0.0505656
623	0.0452915
625	0.0481047
626	0.0516215
627	0.0458745
628	0.0498802
630	0.0482455
631	0.0482035
632	0.0473017
633	0.0489696
634	0.0550708
635	0.0477892
636	0.0509743
637	0.0472581
638	0.0474588
639	0.0551621
640	0.0482329
642	0.0504035
644	0.0413492
645	0.0477323
647	0.0474433
648	0.0500243
649	0.0474046
650	0.0531199
651	0.0457531
652	0.0466069
653	0.0513521
655	0.0572884
656	0.0490589
658	0.0509996
659	0.0510007
660	0.0405021
661	0.0407791
662	0.0533058
663	0.0486281
666	0.0468511
667	0.0501908
668	0.0499196
669	0.0486913
670	0.0471841
673	0.0483276
674	0.0559879
675	0.0528625
676	0.0458872
