#
# Clustering Coefficient Distribution. G(78415, 1619335). Average clustering: 0.0568  OpenTriads: 218526266 (0.9967)  ClosedTriads: 722326 (0.0033) (Sun May  4 14:17:54 2014)
#
# Node degree	Average clustering coefficient
400	0.00572407
401	0.00569825
403	0.00382085
404	0.0053128
405	0.00560812
407	0.00365525
408	0.00590268
409	0.00361954
410	0.0049504
411	0.00530535
412	0.00464534
413	0.00404724
414	0.00452444
415	0.00553099
416	0.00344069
417	0.00524666
418	0.00401019
419	0.00400247
420	0.00321627
421	0.00444549
423	0.00723946
424	0.00458144
425	0.00369589
427	0.00570194
428	0.00421286
429	0.00398667
430	0.00361576
431	0.00609567
432	0.00413901
434	0.00329924
435	0.00418057
436	0.00567858
437	0.00351647
439	0.00489691
440	0.00423647
442	0.00353304
443	0.0040404
444	0.00382324
446	0.0065098
447	0.00361494
449	0.00755647
450	0.00714086
451	0.00379404
452	0.00434138
453	0.00364336
456	0.00335454
459	0.00381501
461	0.00352106
463	0.00330987
464	0.00524604
466	0.00480952
467	0.00379557
468	0.0045872
469	0.00313451
471	0.00410173
474	0.00438123
476	0.00406953
478	0.00433322
479	0.00592967
480	0.0032968
482	0.00371805
483	0.00774182
485	0.00604037
486	0.00367401
490	0.00470606
491	0.00625546
494	0.0038597
495	0.00483187
497	0.00379426
498	0.00305474
499	0.00371023
504	0.0052463
507	0.00347701
508	0.00340897
509	0.00520938
511	0.0044475
512	0.004449
514	0.00349507
515	0.00376923
516	0.00253631
520	0.00384959
523	0.00405245
526	0.00355604
528	0.00324461
529	0.00449676
531	0.00320151
535	0.00543721
536	0.00353257
537	0.00337697
538	0.00313154
540	0.00514486
541	0.0044366
543	0.00262992
544	0.00327023
546	0.00377726
551	0.00368287
552	0.00342579
555	0.00438417
556	0.0043684
558	0.00484801
561	0.00385131
562	0.00511117
563	0.00353976
571	0.00562814
577	0.00447205
578	0.00310039
579	0.00311359
580	0.00473822
581	0.00352365
582	0.00325174
584	0.00291412
585	0.00323147
586	0.00334891
591	0.00400385
593	0.00319892
595	0.00303313
597	0.00298472
601	0.00393633
606	0.00332166
609	0.00343818
611	0.0036905
613	0.00359529
614	0.00457213
615	0.00491622
621	0.00369248
622	0.00324132
626	0.0036522
629	0.00388343
633	0.00408307
634	0.00409236
636	0.00316446
638	0.00359035
643	0.00407743
644	0.00316872
652	0.00314288
656	0.00258797
661	0.00284234
668	0.0033172
674	0.00308084
675	0.00370151
677	0.00425541
678	0.00353006
680	0.00327038
685	0.00278098
686	0.00535563
687	0.00339694
688	0.00374965
690	0.00497968
692	0.00288599
700	0.0031637
701	0.00271857
702	0.00416439
703	0.0036723
706	0.00294135
708	0.00373952
710	0.00328163
711	0.00354203
713	0.00536683
722	0.00416084
724	0.00287705
728	0.00577321
729	0.00290745
733	0.00335473
741	0.0030794
745	0.00351529
746	0.00378081
759	0.003963
763	0.00283451
764	0.00284767
771	0.00254013
775	0.00334475
783	0.00314521
785	0.00319775
792	0.00395951
794	0.00295724
797	0.00288456
799	0.00442464
800	0.00282854
810	0.00413155
821	0.00345207
829	0.00249704
830	0.00336012
831	0.00273888
836	0.00283855
838	0.00290111
841	0.00263858
845	0.00307292
847	0.00301439
849	0.00288769
850	0.00310677
862	0.00270554
864	0.00256159
870	0.00379394
875	0.00525557
884	0.00366835
887	0.00419617
890	0.0029398
897	0.00299282
904	0.00462736
905	0.00320878
914	0.00349244
927	0.00299286
930	0.00273158
933	0.00260133
938	0.00258731
957	0.00259921
975	0.00266835
986	0.0027265
993	0.00367695
996	0.00267199
1000	0.00230631
1001	0.00263936
1002	0.0024646
1015	0.00257717
1021	0.00304584
1026	0.00284328
1029	0.00254631
1032	0.00237032
1052	0.00339528
1058	0.00296723
1068	0.00273058
1072	0.00258163
1105	0.00230835
1108	0.00271166
1113	0.00267118
1134	0.00276947
1141	0.00331589
1200	0.00287045
1260	0.00260978
1270	0.00275125
1301	0.00234612
1303	0.00276474
1367	0.00241522
1388	0.00268654
1396	0.00390899
1430	0.00272544
1442	0.00245245
1450	0.00236072
1610	0.00249914
1622	0.00237177
2043	0.00222685
