#
# Clustering Coefficient Distribution. G(16307, 61319). Average clustering: 0.1373  OpenTriads: 1871201 (0.9406)  ClosedTriads: 118110 (0.0594) (Sun Apr 27 20:56:18 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.112266
3	0.202482
4	0.153693
5	0.196962
6	0.157008
7	0.195384
8	0.181199
9	0.197058
10	0.174886
11	0.171151
12	0.191092
13	0.181236
14	0.171319
15	0.204694
16	0.139908
17	0.185092
18	0.195066
19	0.179323
20	0.155294
21	0.163237
22	0.131941
23	0.164135
24	0.136398
25	0.191302
26	0.158503
27	0.211241
28	0.224697
29	0.187752
30	0.247137
31	0.146726
32	0.167243
33	0.265524
34	0.191995
35	0.165672
36	0.192392
37	0.183395
38	0.299669
39	0.319657
40	0.272602
41	0.139136
42	0.234672
43	0.2078
44	0.256711
45	0.260409
46	0.135876
47	0.137923
48	0.267889
49	0.323647
50	0.231217
51	0.133349
52	0.248507
53	0.102955
54	0.164385
55	0.212111
56	0.212488
57	0.174098
58	0.305509
59	0.301269
60	0.0597753
61	0.268447
62	0.0889451
63	0.146755
64	0.239239
65	0.110493
66	0.430628
67	0.159562
68	0.372235
69	0.112188
70	0.24952
71	0.329091
72	0.221163
73	0.122963
74	0.118294
75	0.29497
76	0.102562
77	0.0931705
78	0.153194
79	0.171643
80	0.0880696
81	0.196343
82	0.342887
83	0.158039
84	0.346535
85	0.402635
86	0.0343953
87	0.109842
89	0.239549
90	0.0496947
91	0.27541
92	0.404949
93	0.546675
94	0.430877
95	0.628234
96	0.459286
97	0.19122
98	0.0826069
100	0.200562
101	0.303443
102	0.251506
103	0.266901
104	0.397908
106	0.0979726
107	0.0558672
108	0.294622
109	0.532306
110	0.22501
111	0.330315
112	0.391219
113	0.316515
114	0.115498
115	0.331211
116	0.555199
117	0.283595
118	0.493072
119	0.512609
120	0.268601
122	0.129349
123	0.0602464
125	0.490437
126	0.447658
127	0.330297
128	0.0979335
129	0.214026
130	0.350693
132	0.14775
133	0.251287
134	0.34796
135	0.368551
137	0.0380952
139	0.144708
140	0.111548
142	0.0556901
144	0.45881
146	0.536789
147	0.425504
148	0.468081
152	0.0781737
153	0.0404811
155	0.0801431
156	0.0603449
157	0.329778
160	0.0516063
161	0.401806
162	0.366106
163	0.0591532
166	0.0832648
167	0.431389
170	0.100928
172	0.020877
179	0.0367236
180	0.0668351
181	0.222494
184	0.421512
186	0.335031
190	0.0672931
192	0.170607
194	0.0576123
202	0.0585878
208	0.24045
210	0.382031
211	0.0346156
212	0.269856
229	0.0366721
230	0.131378
241	0.0699917
257	0.304435
273	0.261453
279	0.0509763
306	0.0210484
307	0.0510356
386	0.0145674
523	0.00580009
839	0.00240321
