#
# Clustering Coefficient Distribution. G(80583, 1730617). Average clustering: 0.0374  OpenTriads: 186413958 (0.9973)  ClosedTriads: 500989 (0.0027) (Sun May  4 21:56:03 2014)
#
# Node degree	Average clustering coefficient
1	0
2	0.0922139
3	0.117089
4	0.0980432
5	0.0858322
6	0.0730008
7	0.066265
8	0.059714
9	0.0539637
10	0.0528893
11	0.0485533
12	0.045363
13	0.0434511
14	0.0421404
15	0.0406649
16	0.0388988
17	0.0367835
18	0.0348822
19	0.034244
20	0.0319165
21	0.0314222
22	0.0307822
23	0.0291882
24	0.0301568
25	0.0277384
26	0.0265131
27	0.0276715
28	0.0260304
29	0.0264373
30	0.0259366
31	0.0249461
32	0.0241527
33	0.024088
34	0.0235617
35	0.0233131
36	0.0229271
37	0.0227268
38	0.0218977
39	0.022916
40	0.0208056
41	0.0208363
42	0.0204449
43	0.0213351
44	0.0207499
45	0.0205305
46	0.020009
47	0.0196041
48	0.0200648
49	0.0190362
50	0.0191823
51	0.0191211
52	0.0181326
53	0.0174282
54	0.0178123
55	0.0180539
56	0.016732
57	0.0170437
58	0.0170237
59	0.0164296
60	0.0181663
61	0.0161854
62	0.0166751
63	0.0158942
64	0.0168155
65	0.0157919
66	0.0163177
67	0.016474
68	0.0159969
69	0.0154561
70	0.0156405
71	0.0150203
72	0.0151525
73	0.0147001
74	0.0147501
75	0.0153696
76	0.0152218
77	0.0148687
78	0.0142264
79	0.014607
80	0.0149067
81	0.0143379
82	0.0140876
83	0.014558
84	0.0138064
85	0.0141133
86	0.0134999
87	0.0138083
88	0.0150323
89	0.0146946
90	0.0134454
91	0.0132447
92	0.0131812
93	0.013194
94	0.0134488
95	0.0133416
96	0.0124365
97	0.0128383
98	0.013199
99	0.0128763
100	0.0126662
101	0.0134617
102	0.0131493
103	0.0125944
104	0.0129072
105	0.0129587
106	0.0122108
107	0.0125338
108	0.0119151
109	0.0126134
110	0.012621
111	0.0121396
112	0.0119452
113	0.0120576
114	0.0120434
115	0.0118727
116	0.0121152
117	0.0121644
118	0.0118357
119	0.0119987
120	0.0123391
121	0.0117921
122	0.0110909
123	0.0119221
124	0.0108933
125	0.0122443
126	0.0115566
127	0.0116276
128	0.0117423
129	0.0110586
130	0.0112189
131	0.0116988
132	0.0108299
133	0.0105562
134	0.0108525
135	0.0111514
136	0.0112132
137	0.0112348
138	0.0114707
139	0.0105256
140	0.0114733
141	0.0106504
142	0.0113074
143	0.0111788
144	0.0112814
145	0.0101201
146	0.0098144
147	0.00990656
148	0.0103425
149	0.0108952
150	0.0109895
151	0.0101134
152	0.0100091
153	0.010108
154	0.0103497
155	0.0108325
156	0.00991585
157	0.0100518
