#
# Hop Plot. Hop plot. EffDiam: 6.74175, G(78437, 1618665) (Tue Apr 29 23:48:33 2014)
#
# Number of hops	Number of pairs of nodes
0	78437
1	1.61866e+06
2	1.75966e+06
3	3.42095e+07
4	4.32747e+08
5	2.06921e+09
6	4.4687e+09
7	5.57572e+09
8	5.82274e+09
9	5.86876e+09
10	5.87631e+09
11	5.87759e+09
