#
# Hop Plot. Hop plot. EffDiam: 5.83541, G(78786, 1634509) (Wed Apr 30 02:16:20 2014)
#
# Number of hops	Number of pairs of nodes
0	78786
1	1.63451e+06
2	1.76327e+06
3	5.48905e+07
4	8.04234e+08
5	2.96456e+09
6	4.25039e+09
7	4.46841e+09
8	4.48644e+09
9	4.4875e+09
