#
# Hop Plot. Hop plot. EffDiam: 7.9483, G(77072, 981410) (Sun Apr 27 20:50:34 2014)
#
# Number of hops	Number of pairs of nodes
0	77072
1	981410
2	1.11034e+06
3	2.26217e+07
4	2.33134e+08
5	9.60201e+08
6	2.26726e+09
7	3.47906e+09
8	4.16067e+09
9	4.41528e+09
10	4.51389e+09
11	4.56464e+09
12	4.57983e+09
13	4.58381e+09
