#
# Hop Plot. Hop plot. EffDiam: 7.52224, G(81306, 1768149) (Tue Apr 22 23:00:28 2014)
#
# Number of hops	Number of pairs of nodes
0	81306
1	1.76815e+06
2	1.89784e+06
3	4.50664e+07
4	4.90126e+08
5	1.95384e+09
6	3.92188e+09
7	5.28423e+09
8	6.05846e+09
9	6.27638e+09
10	6.31288e+09
11	6.31928e+09
12	6.32063e+09
