#
# Hop Plot. Hop plot. EffDiam: 8.7078, G(70931, 531032) (Sun Apr 27 19:27:56 2014)
#
# Number of hops	Number of pairs of nodes
0	70931
1	531032
2	646783
3	1.01646e+07
4	9.56677e+07
5	4.21179e+08
6	1.15022e+09
7	2.25723e+09
8	3.08283e+09
9	3.48888e+09
10	3.65708e+09
11	3.71388e+09
12	3.73465e+09
13	3.7419e+09
14	3.7447e+09
