#
# Out-degree Distribution. G(79227, 967895). 10886 (0.1374) nodes with out-deg > avg deg (24.4), 3280 (0.0414) with >2*avg.deg (Wed Apr 30 15:40:10 2014)
#
# Out-degree	Count
0	10544
1	9149
2	4919
3	4420
4	4201
5	3805
6	3278
7	3122
8	2756
9	2504
10	2310
11	2035
12	1871
13	1778
14	1607
15	1476
16	1286
17	1184
18	1065
19	1058
20	911
21	879
22	750
23	754
24	679
25	616
26	580
27	554
28	468
29	463
30	414
31	368
32	387
33	396
34	327
35	319
36	255
37	253
38	288
39	257
40	217
41	211
42	206
43	215
44	185
45	186
46	159
47	143
48	139
49	137
50	125
51	109
52	116
53	110
54	94
55	92
56	109
57	84
58	99
59	90
60	59
61	69
62	63
63	70
64	64
65	51
66	58
67	62
68	53
69	50
70	46
71	53
72	49
73	40
74	43
75	35
76	33
77	30
78	40
79	38
80	26
81	38
82	27
83	25
84	25
85	27
86	34
87	28
88	17
89	28
90	27
91	22
92	24
93	27
94	29
95	17
96	31
97	23
98	15
99	19
100	17
101	15
102	14
103	23
104	17
105	16
106	14
107	20
108	16
109	16
110	12
111	27
112	19
113	8
114	10
115	9
116	13
117	12
118	11
119	12
120	11
121	11
122	11
123	7
124	4
125	3
126	10
127	4
128	8
129	10
130	12
131	10
132	4
133	6
134	4
135	6
136	2
137	4
138	8
139	3
140	6
141	7
142	2
143	2
144	7
145	7
146	5
147	2
148	3
149	5
150	1
151	5
152	4
153	4
154	4
155	6
156	5
157	3
158	1
159	4
163	2
164	2
165	2
166	2
167	1
168	2
169	2
171	4
172	3
173	3
175	2
176	1
177	2
178	1
179	2
180	1
182	1
184	2
185	1
187	1
188	1
190	2
192	1
193	3
194	3
195	1
196	2
202	1
204	3
211	1
213	1
215	1
218	1
225	1
230	1
232	1
234	1
238	1
250	1
252	1
254	1
261	1
264	1
270	1
272	1
284	1
302	1
304	1
369	1
384	1
433	1
457	1
507	1
